project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026014456,Microsoft SAT93,Microsoft SAT93,Microsoft,County Road 381,Medina,Medina,26000000.0,245000,New Construction,Project Registered,2026-03-09,2027-03-01,2029-04-30,"This project consists of a 1-story, 5-colo building on a new greenfield datacenter site.","Gensler Architecture, Design & Planning, P.C.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014456,245000,,True,,106,False,False,scope of work,address,-98.822734,29.456168
TABS2024023976,SAT82 Data Center,SAT82 Data Center,Microsoft Corporation,18844 FM 1957 Castroville,Castroville,Medina,482600000.0,244676,New Construction,Review Complete,2024-07-25,2026-04-11,2028-02-08,"Construction of one story building with 5 colos for a Data Center. Approximate 244,676 square foot of gross building area","WSP USA, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023976,244676,,True,,1972,False,False,facility name; project name; scope of work,address,-98.881861,29.431251
TABS2024007561,Data Center Building TX11,TX11,VANTAGE DATA CENTERS TX1 LLC,14720 Omicron Dr.,San Antonio,Bexar,95823731.0,242667,New Construction,Inspection Complete,2023-12-15,2023-12-15,2026-09-01,"TX11 is a 2 story data center building with a total of 32MW capacity. The building includes four 8MW data halls, support spaces, office areas, shipping & receiving and storage areas.  Total gross building area is 242,667 sq ft.",Sheehan Nagle Hartray Architects (SNHA),https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024007561,242667,,True,,395,False,False,project name; scope of work,address,-98.786962,29.41388
TABS2026014266,Digital Garland Campus,DFW40,"Digital Garland 2B, L.P.",1512 Ferris Road,Garland,Dallas,140000000.0,236600,New Construction,Project Registered,2026-03-05,2026-05-06,2027-06-10,"Data Hall Suites consisting of four (4) 8MW DR800 suites (Suites 200/100/205/105) with an ultimate total capacity of 32MW of IT power.  Total Area of all four (4) Suites is 236,600 SF.",HED,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014266,236600,,True,,592,False,False,scope of work,address,-96.65286,32.975219
TABS2024017291,NTT TX4,TX4,"NTT Global Data Centers America, Inc.",2008 Lookout Drive,Garland,Dallas,42000000.0,235910,New Construction,Review Complete,2024-04-29,2024-09-01,2026-04-01,"Construction of a new 235,910 sf data center facility.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017291,235910,,True,,178,False,False,scope of work,address,-96.656976,32.981761
TABS2024016331,SKYBOX - HUTTO 1 Fit Out,Building 1,"Hutto Data Center Campus, LLC",4200 County Rd132,Hutto,Williamson,163000000.0,235730,New Construction,Project Registered,2024-04-16,2024-06-01,2024-12-01,"Tenant Fit Out to an existing 235,730 sf Data Center Building. Scope will include Tenant Office Space & Data Center support & compute space.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016331,235730,,True,,691,False,False,scope of work,address,-97.517711,30.537554
TABS2024010542,Skybox - Hutto 1 Initial Improvements,Building 1,"Hutto Data Center Campus, LLC",4200 County Road 132,Hutto,Williamson,149000000.0,235730,New Construction,Project Registered,2024-01-31,2024-01-01,2026-06-30,"Interior Improvements to an existing,235,730 sf Data Center Shell building. Scope will include finish walls / ceilings / floors for the use as a Data Center Building.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010542,235730,,True,,632,False,False,scope of work,address,-97.517711,30.537554
TABS2024015381,Skybox - Hutto 2 Core/Shell,Building 2,"Hutto Data Center Campus, LLC",4200 County Road 132,Hutto,Williamson,78300000.0,235730,New Construction,Project Registered,2024-04-03,2024-06-01,2026-02-01,"Site improvements & construction of a new Core & Shell building with a future use as a Data Center. The proposed project has a two story office & a one story Data Center shell scope, 235,730 sf.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015381,235730,,True,,332,False,False,scope of work,address,-97.517711,30.537554
TABS2026001377,Skybox - Hutto 2 Fit Up,Building 2,"Hutto Data Center Campus, LLC",4200 County Road 132,Hutto,Williamson,470000000.0,234820,Renovation/Alteration,Project Registered,2025-09-19,2025-10-15,2026-10-15,"Interior building improvements for the building owners operations scope. Scope includes security offices, conference rooms, loading dock, restrooms, miscellaneous MEP support, and data center interior shell walls. 234,820 sf","Corgan Associates, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001377,234820,,True,,2002,False,False,scope of work,address,-97.517711,30.537554
TABS2025026905,Skybox - Hutto 2 Fit Out,Building 2,"Hutto Data Center Campus, LLC","4200 County Road 132,",Hutto,Williamson,125000000.0,234820,Renovation/Alteration,Project Registered,2025-08-28,2025-10-01,2026-06-01,"Interior building improvements for the tenants fit out scope. Scope includes hot aisle containment for the project's data center cabinets, electrical busways feeding DC cabinets, cable tray routing, and second story office space, 234,820 sf.",Corgan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026905,234820,,True,,532,False,False,scope of work,address,-97.517711,30.537554
